FIRST_CODE;LAST_CODE;CHAPTER_CODE;TITLE
T36;T50;19;La intoxicación por drogas, medicamentos y sustancias biológicas
T51;T65;19;Los efectos tóxicos de las sustancias no medicinales, principalmente en cuanto a fuente
T66;T78;19;Y otros efectos no especificados de causas externas
T79;T79;19;Ciertas complicaciones precoces de los traumatismos
T80;T88;19;Las complicaciones de cuidados quirúrgicos y médicos, no clasificados en otra parte
T90;T98;19;Secuelas de las lesiones, la intoxicación y de otras consecuencias de causas externas
V01;V09;20;Peatón lesionado en accidente de transporte
V10;V19;20;Pedal ciclista herido en accidente de transporte
V20;V29;20;Motociclistas heridos en accidente de transporte
V30;V39;20;Ocupante del vehículo de tres ruedas motor lesionado en accidente de transporte
V40;V49;20;Los ocupantes de coches heridos en accidente de transporte
V50;V59;20;Los ocupantes de la camioneta pick-up o camioneta heridos en accidente de transporte
V60;V69;20;Los ocupantes de los vehículos de transporte pesado lesionado en accidente de transporte
V70;V79;20;Ocupante de autobús heridos en accidente de transporte
V80;V89;20;Otros accidentes de transporte terrestre
V90;V94;20;Accidentes de transporte por agua
V95;V97;20;Aire y el espacio accidentes de transporte
V98;V99;20;Otros no especificados y los accidentes de transporte
W00;W19;20;Cae
W20;W49;20;La exposición a fuerzas mecánicas inanimadas
W50;W64;20;La exposición a fuerzas mecánicas animadas
W65;W74;20;Ahogamiento y sumersión accidentales
W75;W84;20;Otras amenazas accidentales de respiración
W85;W99;20;La exposición a la radiación eléctrica actual, y las temperaturas extremas del aire ambiente y la presión
X00;X09;20;La exposición al humo, fuego y llamas
X10;X19;20;El contacto con sustancias calientes y el calor
X20;X29;20;Contacto con animales venenosos y plantas
X30;X39;20;Exposición a las fuerzas de la naturaleza
X40;X49;20;Envenenamiento accidental por, y exposición a sustancias nocivas
X50;X57;20;Esfuerzo excesivo, los viajes y las privaciones
X58;X59;20;La exposición accidental a otros factores y no especificadas
X60;X84;20;Lesiones autoinfligidas
X85;Y09;20;Asalto
Y10;Y34;20;Eventos de intención no determinada
Y35;Y36;20;Intervención legal y operaciones de guerra
Y40;Y59;20;Drogas, medicamentos y sustancias biológicas que causan efectos adversos en su uso terapéutico
Y60;Y69;20;Desventuras de los pacientes durante la atención médica y quirúrgica
Y70;Y82;20;Dispositivos médicos asociados con los incidentes adversos en su uso diagnóstico y terapéutico
Y83;Y84;20;Los procedimientos médicos y quirúrgicos como la causa de reacción anormal del paciente o de complicación posterior, sin mención de accidente en el momento del procedimiento
Y85;Y89;20;Secuelas de las causas externas de morbilidad y mortalidad
Y90;Y98;20;Complementarias relacionadas con las causas de morbilidad y mortalidad clasificadas en otra parte los factores de
Z00;Z13;21;Personas contacto con los servicios de salud para su examen y la investigación
Z20;Z29;21;Personas con riesgos potenciales para la salud relacionados con enfermedades transmisibles
Z30;Z39;21;Personas contacto con los servicios de salud en circunstancias relacionadas con la reproducción
Z40;Z54;21;Personas contacto con los servicios de salud para procedimientos específicos y atención de la salud
Z55;Z65;21;Personas con riesgos potenciales para la salud relacionados con las circunstancias socioeconómicas y psicosociales
Z70;Z76;21;Personas contacto con los servicios de salud en otras circunstancias
Z80;Z99;21;Personas con riesgos potenciales para la salud relacionados con la historia familiar y personal y ciertas condiciones que influyen en el estado de salud
U00;U49;22;Asignación provisional de las nuevas enfermedades de etiología incierta
U80;U89;22;Agentes bacterianos resistentes a los antibióticos
