LEVEL;PLACE;TYPE;CHAPTERéCODE;BLOCKéCODE;CODEéW;CODE;CODEéWITHOUTéDOT;TITLE;M1;M2;M3;M4;M
4;T;X;1;A00;A06.1;A06.1;A061;Amebiasis intestinal crónica;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.2;A06.2;A062;Colitis amebiana nondysenteric;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.3;A06.3;A063;Amoeboma del intestino;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.4;A06.4;A064;Absceso hepático amebiano;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.5;A06.5;A065;Amebiano absceso pulmonar;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.6;A06.6;A066;Amebiano absceso cerebral;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.7;A06.7;A067;Amebiasis cutánea;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.8;A06.8;A068;Infección amebiana de otros sitios;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.9;A06.9;A069;Amibiasis, sin especificar;4;4-002;3-003;2-003;1-004
3;N;X;1;A00;A07.-;A07;A07;Otras enfermedades intestinales por protozoos;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A07.0;A07.0;A070;Balantidiasis;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A07.1;A07.1;A071;Giardiasis [lambliasis];6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A07.2;A07.2;A072;Criptosporidiosis;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A07.3;A07.3;A073;Isosporiasis;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A07.8;A07.8;A078;Otras enfermedades intestinales por protozoos especificadas;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A07.9;A07.9;A079;Enfermedades por protozoos intestinales, sin especificar;6;4-002;3-003;2-003;1-004
3;N;X;1;A00;A08.-;A08;A08;Virus y otras infecciones intestinales especificadas;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A08.0;A08.0;A080;Enteritis por rotavirus;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A08.1;A08.1;A081;Gastroenteropatía aguda debido a la agente Norwalk;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A08.2;A08.2;A082;La enteritis por adenovirus;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A08.3;A08.3;A083;Enteritis viral;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A08.4;A08.4;A084;Infección intestinal viral, sin especificar;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A08.5;A08.5;A085;Otras infecciones intestinales especificadas;6;4-002;3-003;2-003;1-004
3;N;X;1;A00;A09.-;A09;A09;Otras gastroenteritis y colitis de origen infeccioso y no especificadas;;;;;
4;T;X;1;A00;A09.0;A09.0;A090;Gastroenteritis y otros no especificados de origen infeccioso;5;4-001;3-002;2-002;1-003
4;T;X;1;A00;A09.9;A09.9;A099;Gastroenteritis y colitis de origen no especificado;;;;;
3;N;X;1;A15;A15.-;A15;A15;Tuberculosis respiratoria, bacteriológica e histológicamente confirmado;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.0;A15.0;A150;Tuberculosis de pulmón, confirmada por microscopía de esputo, con o sin cultura;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.1;A15.1;A151;Tuberculosis de pulmón, confirmada por la cultura sólo;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.2;A15.2;A152;Tuberculosis del pulmón, confirmada histológicamente;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.3;A15.3;A153;Tuberculosis de pulmón, confirmada por medios no especificados;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.4;A15.4;A154;La tuberculosis de los ganglios linfáticos intratorácicos, la confirmación bacteriológica e histológicamente;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.5;A15.5;A155;La tuberculosis de la laringe, la tráquea y los bronquios, la confirmación bacteriológica e histológicamente;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.6;A15.6;A156;Pleuresía tuberculosa, la confirmación bacteriológica e histológicamente;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.7;A15.7;A157;Tuberculosis respiratoria primaria, la confirmación bacteriológica e histológicamente;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.8;A15.8;A158;Tuberculosis respiratoria otra parte, la confirmación bacteriológica e histológicamente;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A15.9;A15.9;A159;Tuberculosis respiratoria no especificada, la confirmación bacteriológica e histológicamente;7;4-003;3-004;2-004;1-005
3;N;X;1;A15;A16.-;A16;A16;Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.0;A16.0;A160;Tuberculosis de pulmón, bacteriológico e histológico negativos;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.1;A16.1;A161;La tuberculosis de los pulmones, el examen bacteriológico e histológico no se hace;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.2;A16.2;A162;Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.3;A16.3;A163;La tuberculosis de los ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.4;A16.4;A164;La tuberculosis de la laringe, la tráquea y los bronquios, sin mención de confirmación bacteriológica o histológica;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.5;A16.5;A165;Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.7;A16.7;A167;Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.8;A16.8;A168;Tuberculosis respiratoria Otros, sin mención de confirmación bacteriológica o histológica;7;4-003;3-004;2-004;1-005
4;T;X;1;A15;A16.9;A16.9;A169;Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica;7;4-003;3-004;2-004;1-005
3;N;X;1;A15;A17.-;A17;A17;La tuberculosis del sistema nervioso;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A17.0;A17.0;A170;La meningitis tuberculosa;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A17.1;A17.1;A171;Tuberculoma meníngeo;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A17.8;A17.8;A178;Otras tuberculosis del sistema nervioso;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A17.9;A17.9;A179;La tuberculosis del sistema nervioso, no especificada;8;4-003;3-004;2-005;1-006
3;N;X;1;A15;A18.-;A18;A18;Tuberculosis de otros órganos;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.0;A18.0;A180;Tuberculosis de huesos y articulaciones;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.1;A18.1;A181;Tuberculosis del aparato genitourinario;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.2;A18.2;A182;Linfadenopatía periférica tuberculosa;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.3;A18.3;A183;Tuberculosis de los intestinos, el peritoneo y ganglios mesentéricos;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.4;A18.4;A184;Tuberculosis de la piel y tejido subcutáneo;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.5;A18.5;A185;Tuberculosis del ojo;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.6;A18.6;A186;Tuberculosis de la oreja;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.7;A18.7;A187;Tuberculosis de las glándulas suprarrenales;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A18.8;A18.8;A188;Tuberculosis de otros órganos especificados;8;4-003;3-004;2-005;1-006
3;N;X;1;A15;A19.-;A19;A19;La tuberculosis miliar;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A19.0;A19.0;A190;Tuberculosis miliar aguda de un solo sitio especificado;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A19.1;A19.1;A191;Tuberculosis miliar aguda de sitios múltiples;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A19.2;A19.2;A192;Tuberculosis miliar aguda, no especificada;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A19.8;A19.8;A198;Tuberculosis miliar otros;8;4-003;3-004;2-005;1-006
4;T;X;1;A15;A19.9;A19.9;A199;Tuberculosis miliar, sin especificar;8;4-003;3-004;2-005;1-006
3;N;X;1;A20;A20.-;A20;A20;Plaga;9;4-014;3-015;2-006;1-007
4;T;X;1;A20;A20.0;A20.0;A200;La peste bubónica;9;4-014;3-015;2-006;1-007
4;T;X;1;A20;A20.1;A20.1;A201;Cellulocutaneous plaga;9;4-014;3-015;2-006;1-007
4;T;X;1;A20;A20.2;A20.2;A202;La peste neumónica;9;4-014;3-015;2-006;1-007
4;T;X;1;A20;A20.3;A20.3;A203;Plaga meningitis;9;4-014;3-015;2-006;1-007
4;T;X;1;A20;A20.7;A20.7;A207;La peste septicémica;9;4-014;3-015;2-006;1-007
4;T;X;1;A20;A20.8;A20.8;A208;Otras formas de la peste;9;4-014;3-015;2-006;1-007
4;T;X;1;A20;A20.9;A20.9;A209;Plaga, sin especificar;9;4-014;3-015;2-006;1-007
3;N;X;1;A20;A21.-;A21;A21;Tularemia;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A21.0;A21.0;A210;La tularemia ulceroglandular;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A21.1;A21.1;A211;La tularemia oculoglandular;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A21.2;A21.2;A212;La tularemia pulmonar;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A21.3;A21.3;A213;Gastrointestinal tularemia;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A21.7;A21.7;A217;Generalizada la tularemia;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A21.8;A21.8;A218;Otras formas de la tularemia;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A21.9;A21.9;A219;La tularemia, sin especificar;18;4-014;3-015;2-024;1-025
3;N;X;1;A20;A22.-;A22;A22;çntrax;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A22.0;A22.0;A220;El ántrax cutáneo;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A22.1;A22.1;A221;çntrax pulmonar;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A22.2;A22.2;A222;El ántrax gastrointestinal;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A22.7;A22.7;A227;çntrax sepsis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A22.8;A22.8;A228;Otras formas de ántrax;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A22.9;A22.9;A229;El ántrax, no especificada;18;4-014;3-015;2-024;1-025
3;N;X;1;A20;A23.-;A23;A23;Brucelosis;10;4-014;3-015;2-024;1-025
4;T;X;1;A20;A23.0;A23.0;A230;La brucelosis debido a Brucella melitensis;10;4-014;3-015;2-024;1-025
4;T;X;1;A20;A23.1;A23.1;A231;La brucelosis debido a Brucella abortus;10;4-014;3-015;2-024;1-025
4;T;X;1;A20;A23.2;A23.2;A232;La brucelosis debido a Brucella suis;10;4-014;3-015;2-024;1-025
4;T;X;1;A20;A23.3;A23.3;A233;La brucelosis debido a Brucella canis;10;4-014;3-015;2-024;1-025
4;T;X;1;A20;A23.8;A23.8;A238;La brucelosis otros;10;4-014;3-015;2-024;1-025
4;T;X;1;A20;A23.9;A23.9;A239;La brucelosis, sin especificar;10;4-014;3-015;2-024;1-025
3;N;X;1;A20;A24.-;A24;A24;El muermo y melioidosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A24.0;A24.0;A240;Muermo;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A24.1;A24.1;A241;Melioidosis aguda y fulminante;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A24.2;A24.2;A242;Melioidosis subaguda y crónica;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A24.3;A24.3;A243;Melioidosis otros;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A24.4;A24.4;A244;Melioidosis, sin especificar;18;4-014;3-015;2-024;1-025
3;N;X;1;A20;A25.-;A25;A25;Fiebres por mordedura de rata-;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A25.0;A25.0;A250;Spirillosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A25.1;A25.1;A251;Streptobacillosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A25.9;A25.9;A259;La fiebre por mordedura de rata, no especificada;18;4-014;3-015;2-024;1-025
3;N;X;1;A20;A26.-;A26;A26;Erisipeloide;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A26.0;A26.0;A260;Erisipeloide cutánea;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A26.7;A26.7;A267;Erysipelothrix sepsis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A26.8;A26.8;A268;Otras formas de erisipeloide;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A26.9;A26.9;A269;Erisipeloide, sin especificar;18;4-014;3-015;2-024;1-025
3;N;X;1;A20;A27.-;A27;A27;Leptospirosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A27.0;A27.0;A270;Leptospirosis icterohaemorrhagica;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A27.8;A27.8;A278;Otras formas de leptospirosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A27.9;A27.9;A279;La leptospirosis, no especificada;18;4-014;3-015;2-024;1-025
3;N;X;1;A20;A28.-;A28;A28;Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A28.0;A28.0;A280;Pasteurelosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A28.1;A28.1;A281;Por ara–azo de gato enfermedad;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A28.2;A28.2;A282;Extraintestinales yersiniosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A28.8;A28.8;A288;Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte;18;4-014;3-015;2-024;1-025
4;T;X;1;A20;A28.9;A28.9;A289;Enfermedad zoonótica bacteriana, sin especificar;18;4-014;3-015;2-024;1-025
3;N;X;1;A30;A30.-;A30;A30;Lepra [enfermedad de Hansen];11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.0;A30.0;A300;La lepra indeterminada;11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.1;A30.1;A301;La lepra tuberculoide;11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.2;A30.2;A302;Límite de la lepra tuberculoide;11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.3;A30.3;A303;Límite de la lepra;11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.4;A30.4;A304;Lepra lepromatosa limítrofe;11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.5;A30.5;A305;Lepra lepromatosa;11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.8;A30.8;A308;Otras formas de lepra;11;4-014;3-015;2-024;1-025
4;T;X;1;A30;A30.9;A30.9;A309;La lepra, no especificada;11;4-014;3-015;2-024;1-025
3;N;X;1;A30;A31.-;A31;A31;Infección por otras micobacterias;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A31.0;A31.0;A310;Infecciones por micobacterias pulmonares;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A31.1;A31.1;A311;Infecciones por micobacterias cutánea;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A31.8;A31.8;A318;Otras infecciones por micobacterias;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A31.9;A31.9;A319;Infecciones por micobacterias, no especificada;18;4-014;3-015;2-024;1-025
3;N;X;1;A30;A32.-;A32;A32;Listeriosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A32.0;A32.0;A320;Listeriosis cutánea;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A32.1;A32.1;A321;Meningitis por Listeria y la meningoencefalitis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A32.7;A32.7;A327;Listeria sepsis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A32.8;A32.8;A328;Otras formas de listeriosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A32.9;A32.9;A329;Listeriosis, sin especificar;18;4-014;3-015;2-024;1-025
3;T;X;1;A30;A33;A33;A33;El tétanos neonatal;12;4-004;3-005;2-007;1-008
3;T;X;1;A30;A34;A34;A34;Tétanos obstétrico;13;UNDEF;UNDEF;2-007;1-008
3;T;X;1;A30;A35;A35;A35;Otros tétanos;13;4-004;3-005;2-007;1-008
3;N;X;1;A30;A36.-;A36;A36;Difteria;14;4-005;3-006;2-008;1-009
4;T;X;1;A30;A36.0;A36.0;A360;Difteria faríngea;14;4-005;3-006;2-008;1-009
4;T;X;1;A30;A36.1;A36.1;A361;La difteria nasofaríngea;14;4-005;3-006;2-008;1-009
4;T;X;1;A30;A36.2;A36.2;A362;Difteria laríngea;14;4-005;3-006;2-008;1-009
4;T;X;1;A30;A36.3;A36.3;A363;Difteria cutánea;14;4-005;3-006;2-008;1-009
4;T;X;1;A30;A36.8;A36.8;A368;La difteria otros;14;4-005;3-006;2-008;1-009
4;T;X;1;A30;A36.9;A36.9;A369;La difteria, sin especificar;14;4-005;3-006;2-008;1-009
3;N;X;1;A30;A37.-;A37;A37;Tos ferina;15;4-006;3-007;2-009;1-010
4;T;X;1;A30;A37.0;A37.0;A370;La tos ferina debido a la Bordetella pertussis;15;4-006;3-007;2-009;1-010
4;T;X;1;A30;A37.1;A37.1;A371;La tos ferina debido a parapertussis Bordetella;15;4-006;3-007;2-009;1-010
4;T;X;1;A30;A37.8;A37.8;A378;Tos ferina, debido a las especies de Bordetella otros;15;4-006;3-007;2-009;1-010
4;T;X;1;A30;A37.9;A37.9;A379;La tos ferina, sin especificar;15;4-006;3-007;2-009;1-010
3;T;X;1;A30;A38;A38;A38;Escarlatina;18;4-014;3-015;2-024;1-025
3;N;X;1;A30;A39.-;A39;A39;La infección meningocócica;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.0;A39.0;A390;La meningitis meningocócica;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.1;A39.1;A391;El síndrome de Waterhouse-Friderichsen;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.2;A39.2;A392;Meningococcaemia aguda;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.3;A39.3;A393;Meningococcaemia crónica;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.4;A39.4;A394;Meningococcaemia, sin especificar;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.5;A39.5;A395;Enfermedades del corazón meningocócica;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.8;A39.8;A398;Otras infecciones meningocócicas;16;4-007;3-008;2-010;1-011
4;T;X;1;A30;A39.9;A39.9;A399;La infección meningocócica, no especificada;16;4-007;3-008;2-010;1-011
3;N;X;1;A30;A40.-;A40;A40;Sepsis por estreptococos;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A40.0;A40.0;A400;Sepsis por estreptococo del grupo A;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A40.1;A40.1;A401;Sepsis por estreptococo del grupo B;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A40.2;A40.2;A402;Sepsis por estreptococos del grupo D;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A40.3;A40.3;A403;Sepsis por Streptococcus pneumoniae;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A40.8;A40.8;A408;Sepsis por estreptococo otros;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A40.9;A40.9;A409;Sepsis por estreptococos, sin especificar;17;4-008;3-009;2-011;1-012
3;N;X;1;A30;A41.-;A41;A41;Sepsis otros;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.0;A41.0;A410;Sepsis por Staphylococcus aureus;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.1;A41.1;A411;Sepsis por estafilococo se especifica otra;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.2;A41.2;A412;Sepsis por estafilococo no especificado;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.3;A41.3;A413;Sepsis por Haemophilus influenzae;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.4;A41.4;A414;Sepsis por anaerobios;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.5;A41.5;A415;Sepsis por otros organismos Gram-negativos;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.8;A41.8;A418;Sepsis que se especifique;17;4-008;3-009;2-011;1-012
4;T;X;1;A30;A41.9;A41.9;A419;Sepsis, sin especificar;17;4-008;3-009;2-011;1-012
3;N;X;1;A30;A42.-;A42;A42;Actinomicosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A42.0;A42.0;A420;Actinomicosis pulmonar;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A42.1;A42.1;A421;Actinomicosis abdominal;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A42.2;A42.2;A422;Actinomicosis cervicofacial;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A42.7;A42.7;A427;Sepsis actinomicótico;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A42.8;A42.8;A428;Otras formas de actinomicosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A42.9;A42.9;A429;Actinomicosis, sin especificar;18;4-014;3-015;2-024;1-025
3;N;X;1;A30;A43.-;A43;A43;Nocardiosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A43.0;A43.0;A430;Nocardiosis pulmonar;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A43.1;A43.1;A431;Nocardiosis cutánea;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A43.8;A43.8;A438;Otras formas de nocardiosis;18;4-014;3-015;2-024;1-025
4;T;X;1;A30;A43.9;A43.9;A439;Nocardiosis, sin especificar;18;4-014;3-015;2-024;1-025
