LEVEL;PLACE;TYPE;CHAPTER_CODE;BLOCK_CODE;CODE_W;CODE;CODE_WITHOUT_DOT;TITLE;M1;M2;M3;M4;M
4;T;X;01;A00;A05.3;A05.3;A053;Foodborne Vibrio parahaemolyticus intoxication;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A05.4;A05.4;A054;Foodborne Bacillus cereus intoxication;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A05.8;A05.8;A058;Other specified bacterial foodborne intoxications;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A05.9;A05.9;A059;Bacterial foodborne intoxication, unspecified;006;4-002;3-003;2-003;1-004
3;N;X;01;A00;A06.-;A06;A06;Amoebiasis;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.0;A06.0;A060;Acute amoebic dysentery;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.1;A06.1;A061;Chronic intestinal amoebiasis;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.2;A06.2;A062;Amoebic nondysenteric colitis;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.3;A06.3;A063;Amoeboma of intestine;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.4;A06.4;A064;Amoebic liver abscess;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.5;A06.5;A065;Amoebic lung abscess;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.6;A06.6;A066;Amoebic brain abscess;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.7;A06.7;A067;Cutaneous amoebiasis;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.8;A06.8;A068;Amoebic infection of other sites;004;4-002;3-003;2-003;1-004
4;T;X;01;A00;A06.9;A06.9;A069;Amoebiasis, unspecified;004;4-002;3-003;2-003;1-004
3;N;X;01;A00;A07.-;A07;A07;Other protozoal intestinal diseases;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A07.0;A07.0;A070;Balantidiasis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A07.1;A07.1;A071;Giardiasis [lambliasis];006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A07.2;A07.2;A072;Cryptosporidiosis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A07.3;A07.3;A073;Isosporiasis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A07.8;A07.8;A078;Other specified protozoal intestinal diseases;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A07.9;A07.9;A079;Protozoal intestinal disease, unspecified;006;4-002;3-003;2-003;1-004
3;N;X;01;A00;A08.-;A08;A08;Viral and other specified intestinal infections;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A08.0;A08.0;A080;Rotaviral enteritis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A08.1;A08.1;A081;Acute gastroenteropathy due to Norwalk agent;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A08.2;A08.2;A082;Adenoviral enteritis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A08.3;A08.3;A083;Other viral enteritis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A08.4;A08.4;A084;Viral intestinal infection, unspecified;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A08.5;A08.5;A085;Other specified intestinal infections;006;4-002;3-003;2-003;1-004
3;N;X;01;A00;A09.-;A09;A09;Other gastroenteritis and colitis of infectious and unspecified origin;;;;;
4;T;X;01;A00;A09.0;A09.0;A090;Other and unspecified gastroenteritis of infectious origin;005;4-001;3-002;2-002;1-003
4;T;X;01;A00;A09.9;A09.9;A099;Gastroenteritis and colitis of unspecified origin;;;;;
3;N;X;01;A15;A15.-;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.0;A15.0;A150;Tuberculosis of lung, confirmed by sputum microscopy with or without culture;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.1;A15.1;A151;Tuberculosis of lung, confirmed by culture only;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.2;A15.2;A152;Tuberculosis of lung, confirmed histologically;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.3;A15.3;A153;Tuberculosis of lung, confirmed by unspecified means;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.4;A15.4;A154;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.5;A15.5;A155;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.6;A15.6;A156;Tuberculous pleurisy, confirmed bacteriologically and histologically;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.7;A15.7;A157;Primary respiratory tuberculosis, confirmed bacteriologically and histologically;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.8;A15.8;A158;Other respiratory tuberculosis, confirmed bacteriologically and histologically;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A15.9;A15.9;A159;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;007;4-003;3-004;2-004;1-005
3;N;X;01;A15;A16.-;A16;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.0;A16.0;A160;Tuberculosis of lung, bacteriologically and histologically negative;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.1;A16.1;A161;Tuberculosis of lung, bacteriological and histological examination not done;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.2;A16.2;A162;Tuberculosis of lung, without mention of bacteriological or histological confirmation;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.3;A16.3;A163;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.4;A16.4;A164;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.5;A16.5;A165;Tuberculous pleurisy, without mention of bacteriological or histological confirmation;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.7;A16.7;A167;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.8;A16.8;A168;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;007;4-003;3-004;2-004;1-005
4;T;X;01;A15;A16.9;A16.9;A169;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;007;4-003;3-004;2-004;1-005
3;N;X;01;A15;A17.-;A17;A17;Tuberculosis of nervous system;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A17.0;A17.0;A170;Tuberculous meningitis;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A17.1;A17.1;A171;Meningeal tuberculoma;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A17.8;A17.8;A178;Other tuberculosis of nervous system;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A17.9;A17.9;A179;Tuberculosis of nervous system, unspecified;008;4-003;3-004;2-005;1-006
3;N;X;01;A15;A18.-;A18;A18;Tuberculosis of other organs;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.0;A18.0;A180;Tuberculosis of bones and joints;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.1;A18.1;A181;Tuberculosis of genitourinary system;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.2;A18.2;A182;Tuberculous peripheral lymphadenopathy;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.3;A18.3;A183;Tuberculosis of intestines, peritoneum and mesenteric glands;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.4;A18.4;A184;Tuberculosis of skin and subcutaneous tissue;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.5;A18.5;A185;Tuberculosis of eye;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.6;A18.6;A186;Tuberculosis of ear;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.7;A18.7;A187;Tuberculosis of adrenal glands;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A18.8;A18.8;A188;Tuberculosis of other specified organs;008;4-003;3-004;2-005;1-006
3;N;X;01;A15;A19.-;A19;A19;Miliary tuberculosis;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A19.0;A19.0;A190;Acute miliary tuberculosis of a single specified site;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A19.1;A19.1;A191;Acute miliary tuberculosis of multiple sites;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A19.2;A19.2;A192;Acute miliary tuberculosis, unspecified;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A19.8;A19.8;A198;Other miliary tuberculosis;008;4-003;3-004;2-005;1-006
4;T;X;01;A15;A19.9;A19.9;A199;Miliary tuberculosis, unspecified;008;4-003;3-004;2-005;1-006
3;N;X;01;A20;A20.-;A20;A20;Plague;009;4-014;3-015;2-006;1-007
4;T;X;01;A20;A20.0;A20.0;A200;Bubonic plague;009;4-014;3-015;2-006;1-007
4;T;X;01;A20;A20.1;A20.1;A201;Cellulocutaneous plague;009;4-014;3-015;2-006;1-007
4;T;X;01;A20;A20.2;A20.2;A202;Pneumonic plague;009;4-014;3-015;2-006;1-007
4;T;X;01;A20;A20.3;A20.3;A203;Plague meningitis;009;4-014;3-015;2-006;1-007
4;T;X;01;A20;A20.7;A20.7;A207;Septicaemic plague;009;4-014;3-015;2-006;1-007
4;T;X;01;A20;A20.8;A20.8;A208;Other forms of plague;009;4-014;3-015;2-006;1-007
4;T;X;01;A20;A20.9;A20.9;A209;Plague, unspecified;009;4-014;3-015;2-006;1-007
3;N;X;01;A20;A21.-;A21;A21;Tularaemia;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A21.0;A21.0;A210;Ulceroglandular tularaemia;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A21.1;A21.1;A211;Oculoglandular tularaemia;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A21.2;A21.2;A212;Pulmonary tularaemia;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A21.3;A21.3;A213;Gastrointestinal tularaemia;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A21.7;A21.7;A217;Generalized tularaemia;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A21.8;A21.8;A218;Other forms of tularaemia;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A21.9;A21.9;A219;Tularaemia, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A20;A22.-;A22;A22;Anthrax;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A22.0;A22.0;A220;Cutaneous anthrax;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A22.1;A22.1;A221;Pulmonary anthrax;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A22.2;A22.2;A222;Gastrointestinal anthrax;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A22.7;A22.7;A227;Anthrax sepsis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A22.8;A22.8;A228;Other forms of anthrax;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A22.9;A22.9;A229;Anthrax, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A20;A23.-;A23;A23;Brucellosis;010;4-014;3-015;2-024;1-025
4;T;X;01;A20;A23.0;A23.0;A230;Brucellosis due to Brucella melitensis;010;4-014;3-015;2-024;1-025
4;T;X;01;A20;A23.1;A23.1;A231;Brucellosis due to Brucella abortus;010;4-014;3-015;2-024;1-025
4;T;X;01;A20;A23.2;A23.2;A232;Brucellosis due to Brucella suis;010;4-014;3-015;2-024;1-025
4;T;X;01;A20;A23.3;A23.3;A233;Brucellosis due to Brucella canis;010;4-014;3-015;2-024;1-025
4;T;X;01;A20;A23.8;A23.8;A238;Other brucellosis;010;4-014;3-015;2-024;1-025
4;T;X;01;A20;A23.9;A23.9;A239;Brucellosis, unspecified;010;4-014;3-015;2-024;1-025
3;N;X;01;A20;A24.-;A24;A24;Glanders and melioidosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A24.0;A24.0;A240;Glanders;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A24.1;A24.1;A241;Acute and fulminating melioidosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A24.2;A24.2;A242;Subacute and chronic melioidosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A24.3;A24.3;A243;Other melioidosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A24.4;A24.4;A244;Melioidosis, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A20;A25.-;A25;A25;Rat-bite fevers;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A25.0;A25.0;A250;Spirillosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A25.1;A25.1;A251;Streptobacillosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A25.9;A25.9;A259;Rat-bite fever, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A20;A26.-;A26;A26;Erysipeloid;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A26.0;A26.0;A260;Cutaneous erysipeloid;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A26.7;A26.7;A267;Erysipelothrix sepsis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A26.8;A26.8;A268;Other forms of erysipeloid;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A26.9;A26.9;A269;Erysipeloid, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A20;A27.-;A27;A27;Leptospirosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A27.0;A27.0;A270;Leptospirosis icterohaemorrhagica;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A27.8;A27.8;A278;Other forms of leptospirosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A27.9;A27.9;A279;Leptospirosis, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A20;A28.-;A28;A28;Other zoonotic bacterial diseases, not elsewhere classified;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A28.0;A28.0;A280;Pasteurellosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A28.1;A28.1;A281;Cat-scratch disease;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A28.2;A28.2;A282;Extraintestinal yersiniosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A28.8;A28.8;A288;Other specified zoonotic bacterial diseases, not elsewhere classified;018;4-014;3-015;2-024;1-025
4;T;X;01;A20;A28.9;A28.9;A289;Zoonotic bacterial disease, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A30;A30.-;A30;A30;Leprosy [Hansen's disease];011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.0;A30.0;A300;Indeterminate leprosy;011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.1;A30.1;A301;Tuberculoid leprosy;011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.2;A30.2;A302;Borderline tuberculoid leprosy;011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.3;A30.3;A303;Borderline leprosy;011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.4;A30.4;A304;Borderline lepromatous leprosy;011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.5;A30.5;A305;Lepromatous leprosy;011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.8;A30.8;A308;Other forms of leprosy;011;4-014;3-015;2-024;1-025
4;T;X;01;A30;A30.9;A30.9;A309;Leprosy, unspecified;011;4-014;3-015;2-024;1-025
3;N;X;01;A30;A31.-;A31;A31;Infection due to other mycobacteria;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A31.0;A31.0;A310;Pulmonary mycobacterial infection;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A31.1;A31.1;A311;Cutaneous mycobacterial infection;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A31.8;A31.8;A318;Other mycobacterial infections;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A31.9;A31.9;A319;Mycobacterial infection, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A30;A32.-;A32;A32;Listeriosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A32.0;A32.0;A320;Cutaneous listeriosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A32.1;A32.1;A321;Listerial meningitis and meningoencephalitis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A32.7;A32.7;A327;Listerial sepsis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A32.8;A32.8;A328;Other forms of listeriosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A32.9;A32.9;A329;Listeriosis, unspecified;018;4-014;3-015;2-024;1-025
3;T;X;01;A30;A33;A33;A33;Tetanus neonatorum;012;4-004;3-005;2-007;1-008
3;T;X;01;A30;A34;A34;A34;Obstetrical tetanus;013;UNDEF;UNDEF;2-007;1-008
3;T;X;01;A30;A35;A35;A35;Other tetanus;013;4-004;3-005;2-007;1-008
3;N;X;01;A30;A36.-;A36;A36;Diphtheria;014;4-005;3-006;2-008;1-009
4;T;X;01;A30;A36.0;A36.0;A360;Pharyngeal diphtheria;014;4-005;3-006;2-008;1-009
4;T;X;01;A30;A36.1;A36.1;A361;Nasopharyngeal diphtheria;014;4-005;3-006;2-008;1-009
4;T;X;01;A30;A36.2;A36.2;A362;Laryngeal diphtheria;014;4-005;3-006;2-008;1-009
4;T;X;01;A30;A36.3;A36.3;A363;Cutaneous diphtheria;014;4-005;3-006;2-008;1-009
4;T;X;01;A30;A36.8;A36.8;A368;Other diphtheria;014;4-005;3-006;2-008;1-009
4;T;X;01;A30;A36.9;A36.9;A369;Diphtheria, unspecified;014;4-005;3-006;2-008;1-009
3;N;X;01;A30;A37.-;A37;A37;Whooping cough;015;4-006;3-007;2-009;1-010
4;T;X;01;A30;A37.0;A37.0;A370;Whooping cough due to Bordetella pertussis;015;4-006;3-007;2-009;1-010
4;T;X;01;A30;A37.1;A37.1;A371;Whooping cough due to Bordetella parapertussis;015;4-006;3-007;2-009;1-010
4;T;X;01;A30;A37.8;A37.8;A378;Whooping cough due to other Bordetella species;015;4-006;3-007;2-009;1-010
4;T;X;01;A30;A37.9;A37.9;A379;Whooping cough, unspecified;015;4-006;3-007;2-009;1-010
3;T;X;01;A30;A38;A38;A38;Scarlet fever;018;4-014;3-015;2-024;1-025
3;N;X;01;A30;A39.-;A39;A39;Meningococcal infection;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.0;A39.0;A390;Meningococcal meningitis;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.1;A39.1;A391;Waterhouse-Friderichsen syndrome;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.2;A39.2;A392;Acute meningococcaemia;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.3;A39.3;A393;Chronic meningococcaemia;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.4;A39.4;A394;Meningococcaemia, unspecified;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.5;A39.5;A395;Meningococcal heart disease;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.8;A39.8;A398;Other meningococcal infections;016;4-007;3-008;2-010;1-011
4;T;X;01;A30;A39.9;A39.9;A399;Meningococcal infection, unspecified;016;4-007;3-008;2-010;1-011
3;N;X;01;A30;A40.-;A40;A40;Streptococcal sepsis;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A40.0;A40.0;A400;Sepsis due to streptococcus, group A;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A40.1;A40.1;A401;Sepsis due to streptococcus, group B;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A40.2;A40.2;A402;Sepsis due to streptococcus, group D;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A40.3;A40.3;A403;Sepsis due to Streptococcus pneumoniae;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A40.8;A40.8;A408;Other streptococcal sepsis;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A40.9;A40.9;A409;Streptococcal sepsis, unspecified;017;4-008;3-009;2-011;1-012
3;N;X;01;A30;A41.-;A41;A41;Other sepsis;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.0;A41.0;A410;Sepsis due to Staphylococcus aureus;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.1;A41.1;A411;Sepsis due to other specified staphylococcus;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.2;A41.2;A412;Sepsis due to unspecified staphylococcus;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.3;A41.3;A413;Sepsis due to Haemophilus influenzae;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.4;A41.4;A414;Sepsis due to anaerobes;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.5;A41.5;A415;Sepsis due to other Gram-negative organisms;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.8;A41.8;A418;Other specified sepsis;017;4-008;3-009;2-011;1-012
4;T;X;01;A30;A41.9;A41.9;A419;Sepsis, unspecified;017;4-008;3-009;2-011;1-012
3;N;X;01;A30;A42.-;A42;A42;Actinomycosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A42.0;A42.0;A420;Pulmonary actinomycosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A42.1;A42.1;A421;Abdominal actinomycosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A42.2;A42.2;A422;Cervicofacial actinomycosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A42.7;A42.7;A427;Actinomycotic sepsis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A42.8;A42.8;A428;Other forms of actinomycosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A42.9;A42.9;A429;Actinomycosis, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A30;A43.-;A43;A43;Nocardiosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A43.0;A43.0;A430;Pulmonary nocardiosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A43.1;A43.1;A431;Cutaneous nocardiosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A43.8;A43.8;A438;Other forms of nocardiosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A43.9;A43.9;A439;Nocardiosis, unspecified;018;4-014;3-015;2-024;1-025
3;N;X;01;A30;A44.-;A44;A44;Bartonellosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A44.0;A44.0;A440;Systemic bartonellosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A44.1;A44.1;A441;Cutaneous and mucocutaneous bartonellosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A44.8;A44.8;A448;Other forms of bartonellosis;018;4-014;3-015;2-024;1-025
4;T;X;01;A30;A44.9;A44.9;A449;Bartonellosis, unspecified;018;4-014;3-015;2-024;1-025
3;T;X;01;A30;A46;A46;A46;Erysipelas;018;4-014;3-015;2-024;1-025
